SystemVariableID,EntityTypeID,EntityTypeName,SystemVariableCode,SystemVariableDescription,NumericValue,Sequence,IsSystemGenerated,IsInactive,CompanyID,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,RowVersion
94,21,ExpensePurpose,Foreign Travel,Foreign Travel,1,5,1,0,nagad,3,10:33.6,NULL,NULL,NULL,NULL,1
95,21,ExpensePurpose,Local Travel,Local Travel,1,6,1,0,nagad,3,10:33.6,NULL,NULL,NULL,NULL,1
96,22,PaymentStatus,Payable,Payable,1,1,1,0,nagad,3,04:57.4,NULL,NULL,NULL,NULL,1
97,22,PaymentStatus,Receivable,Receivable,1,2,1,0,nagad,3,04:57.4,NULL,NULL,NULL,NULL,1
98,23,SupplierCategory,PO Vendor,PO Vendor,1,2,1,0,nagad,3,05:22.9,NULL,NULL,NULL,NULL,1
99,23,SupplierCategory,Non PO Vendor,Non PO Vendor,1,2,1,0,nagad,3,05:22.9,NULL,NULL,NULL,NULL,1
100,27,WarehouseType,Store Inventory,Store Inventory,1,1,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
101,27,WarehouseType,Sales Depot,Sales Depot,1,2,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
102,27,WarehouseType,Production Line,Production Line,1,3,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
103,27,WarehouseType,Damage Warehouse,Damage Warehouse,1,4,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
104,24,WarehouseAbleTo,Only Purchase,Only Purchase,1,1,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
105,24,WarehouseAbleTo,Only Purchase,Only Sale,1,2,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
106,24,WarehouseAbleTo,Both Purchase & Sale,Both Purchase & Sale,1,3,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
107,25,InventoryType,Inventory,Inventory,1,1,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
108,25,InventoryType,Non-Inventory,Non-Inventory,2,2,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
109,25,InventoryType,Services,Services,3,3,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
110,25,InventoryType,Asset,Asset,4,4,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
111,26,ItemAssetType,Capex,Capex,1,1,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
112,26,ItemAssetType,Opex,Opex,2,2,1,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
113,28,PaymentTerms,Payment will be made after 30 days after the invoice submission which duly certified by the respective user department,Payment will be made after 30 days after the invoice submission which duly certified by the respective user department,30,5,0,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
114,28,PaymentTerms,10 % Advance Payment (Payment will be made in advance),10 % Advance Payment (Payment will be made in advance)  ,10,12,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
115,28,PaymentTerms,Payment will be made after 7 days after the invoice submission which duly certified by the respective user department.,Payment will be made after 7 days after the invoice submission which duly certified by the respective user department.,7,7,0,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
116,28,PaymentTerms,Payment will be made after 15 days after the invoice submission which duly certified by the respective user department.,Payment will be made after 15 days after the invoice submission which duly certified by the respective user department.,15,8,0,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
117,28,PaymentTerms,Payment will be made after 45 days after the invoice submission which duly certified by the respective user department.,Payment will be made after 45 days after the invoice submission which duly certified by the respective user department.,45,9,0,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
118,28,PaymentTerms,Payment will be made after 60 days after the invoice submission which duly certified by the respective user department.,Payment will be made after 60 days after the invoice submission which duly certified by the respective user department.,60,10,0,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
